size,density,graph_type,mst_algo,mean,median,stdev,min,max,count
10,100,list,prims,0.000455074998899363,0.00045291599963093176,4.874803973218369e-06,0.00045095800305716693,0.0004671669958042912,10
10,100,list,kruskals,0.0008951750984124374,0.0008936039957916364,4.414903505336074e-05,0.0008398339996347204,0.000978791998932138,10
20,0,matrix,prims,0.008896574901154964,0.00890739549868158,6.146264350406781e-05,0.008799084003840107,0.008984499996586237,10
20,0,matrix,kruskals,0.010013908402470406,0.010021396003139671,4.142330437877114e-05,0.00994366700615501,0.010057833002065308,10
20,0,list,prims,0.001459191500180168,0.0014588744998036418,9.364377037076787e-06,0.0014451250026468188,0.0014742079947609454,10
20,0,list,kruskals,0.0022167915994941723,0.0022126245021354407,2.6686324115287176e-05,0.0021887499970034696,0.0022859169985167682,10
20,25,matrix,prims,0.009159641799487871,0.009149208002781961,6.481745362822399e-05,0.009068624996871222,0.009255291995941661,10
20,25,matrix,kruskals,0.010789542000566144,0.010793104498588946,4.3439270779827226e-05,0.010713750001741573,0.010859709000214934,10
20,25,list,prims,0.0017363543018291238,0.0017396045004716143,1.2150572466827635e-05,0.001708832998701837,0.0017478750014561228,10
20,25,list,kruskals,0.003106471099454211,0.003109416997176595,3.926033282045669e-05,0.0030397919981624,0.0031615839980077,10
20,50,matrix,prims,0.00933044160119607,0.009321854002337204,4.839721978341644e-05,0.009264708001865074,0.009411416001967154,10
20,50,matrix,kruskals,0.011221783399378182,0.011220228996535297,0.00017757577204338207,0.011013417002686765,0.011653625006147195,10
20,50,list,prims,0.0019039916987821925,0.001900833500258159,1.4533257601119634e-05,0.0018876670001191087,0.0019372909955563955,10
20,50,list,kruskals,0.00358732490130933,0.003602333501476096,0.00011474766486987127,0.00342287500097882,0.0038077499993960373,10
20,75,matrix,prims,0.009570124799938639,0.009574437000992475,0.00017366805624738097,0.009285499996622093,0.009794416000659112,10
20,75,matrix,kruskals,0.011599354101053904,0.011499457999889273,0.0003103623843866938,0.01121525000053225,0.012248292005097028,10
20,75,list,prims,0.002025695701740915,0.0020021460004500113,6.3815133942729e-05,0.00198133300000336,0.0021931250012130477,10
20,75,list,kruskals,0.003908016800414771,0.003935333003028063,0.00017361291688749902,0.003637709000031464,0.0042192089968011715,10
20,100,matrix,prims,0.009537629101396305,0.009524583001621068,0.00014465500678405126,0.009346459002699703,0.009754417005751748,10
20,100,matrix,kruskals,0.01159127070059185,0.011616333002166357,0.0002181403750016848,0.011226415997953154,0.011921249999431893,10
20,100,list,prims,0.002050595601031091,0.0020314579996920656,5.610028012835983e-05,0.0019995000038761646,0.002158291004889179,10
20,100,list,kruskals,0.003971658400405431,0.0039441670014639385,0.00015500838077114242,0.0037154590027057566,0.0042384999978821725,10
50,0,matrix,prims,0.3305750627005182,0.3266652710008202,0.0164560914819046,0.31641291599953547,0.37058387500292156,10
50,0,matrix,kruskals,0.3560965957993176,0.35353804199621663,0.0175813399619748,0.3356242910012952,0.38059079099912196,10
