size,density,graph_type,mst_algo,mean,median,stdev,min,max,count
50,25,matrix,kruskals,0.3597449458000483,0.34314585399988573,0.03252985073496965,0.3328469580010278,0.43146716699993704,10
50,25,list,prims,0.015054758400219725,0.014900521000527078,0.0004345374089198622,0.014600750000681728,0.016143417000421323,10
50,25,list,kruskals,0.02144279990097857,0.021232812501693843,0.0007777019917491867,0.020763291002367623,0.02335466600197833,10
50,50,matrix,prims,0.32386053360023653,0.32201495849949424,0.006024364039912941,0.31498062500031665,0.3352649590015062,10
50,50,matrix,kruskals,0.3587492169994221,0.34475135449974914,0.02505791420090724,0.33459729199967114,0.40818045899504796,10
50,50,list,prims,0.019750887300324392,0.01613979149988154,0.005941629801746142,0.015687915998569224,0.028899208002258092,10
50,50,list,kruskals,0.027989687499939464,0.025250687500374625,0.006200963064263656,0.024136250001902226,0.040411834001133684,10
50,75,matrix,prims,0.3242770127006224,0.3218153544985398,0.007515854110352661,0.31712220900226384,0.33929933400213486,10
50,75,matrix,kruskals,0.34657430440056486,0.3394344380030816,0.018063057874024853,0.33690037499764003,0.3956732500009821,10
50,75,list,prims,0.017765325000800657,0.01663258299959125,0.003677700359379972,0.01613704200281063,0.028203417001350317,10
50,75,list,kruskals,0.028668749900680267,0.027411729002778884,0.004606234372687156,0.025592792000679765,0.04151358300441643,10
50,100,matrix,prims,0.3297150209007668,0.32708995799839613,0.012276620930088954,0.3187526670008083,0.36129250000522006,10
50,100,matrix,kruskals,0.3632001663994743,0.3669315205006569,0.009207970437113033,0.346235582997906,0.3711352909958805,10
50,100,list,prims,0.019230762601364405,0.016912833001697436,0.005149255914696871,0.016329124999174383,0.02940479200333357,10
50,100,list,kruskals,0.03099637089908356,0.027318208500219043,0.008169831797095628,0.026777583996590693,0.05013404199416982,10
100,0,matrix,prims,5.113754808199883,5.096358687500469,0.21895640553879261,4.835189083001751,5.403819792001741,10
100,0,matrix,kruskals,5.442896887500683,5.434950604500045,0.263148693053966,5.1698141250017215,5.915635875004227,10
100,0,list,prims,0.1851305375006632,0.11047918800250045,0.15874607976624594,0.10262716699799057,0.503442166998866,10
100,0,list,kruskals,0.0958864125990658,0.059594645998004125,0.07331557896262622,0.0580849580001086,0.23519391699664993,10
100,25,matrix,prims,5.330319920701004,5.300777395499608,0.2945033502181533,4.959850292005285,5.929592790998868,10
100,25,matrix,kruskals,5.739511824800138,5.627434229001665,0.41071990348732385,5.197262041998329,6.495750000001863,10
100,25,list,prims,0.1572974456998054,0.12641747899760958,0.10597052184968292,0.10851650000404334,0.45791674999782117,10
100,25,list,kruskals,0.14806405810159048,0.09213222850303282,0.0925912520919958,0.0866055000005872,0.30020404099923326,10
100,50,matrix,prims,5.321867533299519,5.270504666499619,0.2640160569113446,4.879286584000511,5.722219583003607,10
100,50,matrix,kruskals,5.640109704201313,5.547841333500401,0.38766040164232773,5.234250625006098,6.350997499997902,10
100,50,list,prims,0.19150352910146468,0.12459356299950741,0.1445614495044004,0.11527604100410827,0.4708941249991767,10
100,50,list,kruskals,0.14033914990141055,0.10613983300208929,0.07419193542250617,0.10223795800266089,0.2811765000005835,10
100,75,matrix,prims,5.647404562298471,5.682182645996363,0.37652410380235385,5.0141609579950455,6.223760166001739,10
100,75,matrix,kruskals,5.652168570799404,5.565594249503192,0.3796428846601302,5.239707458000339,6.355545874997915,10
100,75,list,prims,0.1632507750982768,0.1305691459965601,0.11042884653801906,0.1158081659959862,0.4771453749999637,10
100,75,list,kruskals,0.16781002500138129,0.11621881250175647,0.08477455128830577,0.1133749579967116,0.2922207920055371,10
100,100,matrix,prims,5.697937524900771,5.644662749498821,0.3487639905077684,5.208739916997729,6.243834208995395,10
100,100,matrix,kruskals,5.742489091599419,5.711670895499992,0.4229093402924475,5.234533499999088,6.479971499997191,10
100,100,list,prims,0.1301564456996857,0.13195729150174884,0.014043027337459043,0.10832754200237105,0.15065033300197683,10
100,100,list,kruskals,0.1712531001008756,0.11884270849986933,0.0884334635313855,0.11354162500356324,0.3107858750008745,10
