size,density,graph_type,mst_algo,runtime
20,25,matrix,kruskals,0.010618125001201406
20,25,matrix,kruskals,0.0103215
20,25,matrix,kruskals,0.010524415993131697
20,25,list,prims,0.001730958
20,25,list,prims,0.001711417
20,25,list,prims,0.001591834
20,25,list,prims,0.001618292
20,25,list,prims,0.001583917
20,25,list,prims,0.001591875
20,25,list,prims,0.001650833
20,25,list,prims,0.00161225
20,25,list,prims,0.001607416
20,25,list,prims,0.00162625
20,25,list,kruskals,0.003025083
20,25,list,kruskals,0.002917125
20,25,list,kruskals,0.002935625
20,25,list,kruskals,0.002897083
20,25,list,kruskals,0.003014584
20,25,list,kruskals,0.002879708
20,25,list,kruskals,0.002907375
20,25,list,kruskals,0.002908208
20,25,list,kruskals,0.002940834
20,25,list,kruskals,0.003097917
20,50,matrix,prims,0.009578125
20,50,matrix,prims,0.009589167
20,50,matrix,prims,0.009519792
20,50,matrix,prims,0.009433958
20,50,matrix,prims,0.009467833
20,50,matrix,prims,0.0096725
20,50,matrix,prims,0.009462209
20,50,matrix,prims,0.010084916997584514
20,50,matrix,prims,0.009635792
20,50,matrix,prims,0.009400833
20,50,matrix,kruskals,0.011071333
20,50,matrix,kruskals,0.011117916998045985
20,50,matrix,kruskals,0.011340167
20,50,matrix,kruskals,0.011292292
20,50,matrix,kruskals,0.011149458
20,50,matrix,kruskals,0.011427416000515223
20,50,matrix,kruskals,0.011201957997400314
20,50,matrix,kruskals,0.011287332999927457
20,50,matrix,kruskals,0.011337374999129679
20,50,matrix,kruskals,0.011298792000161484
20,50,list,prims,0.001943333
20,50,list,prims,0.001781875
20,50,list,prims,0.001792583
20,50,list,prims,0.00189975
20,50,list,prims,0.001762458
20,50,list,prims,0.001768708
20,50,list,prims,0.001852834
20,50,list,prims,0.00184275
20,50,list,prims,0.00176925
20,50,list,prims,0.001802916
20,50,list,kruskals,0.003789
20,50,list,kruskals,0.003679833
20,50,list,kruskals,0.003688167
20,50,list,kruskals,0.003689583
20,50,list,kruskals,0.003692625
20,50,list,kruskals,0.0036585
20,50,list,kruskals,0.003646875
20,50,list,kruskals,0.00375
20,50,list,kruskals,0.003628917
20,50,list,kruskals,0.003678875
20,75,matrix,prims,0.009641
20,75,matrix,prims,0.009327292
20,75,matrix,prims,0.00943875
20,75,matrix,prims,0.009370959
20,75,matrix,prims,0.009349916
20,75,matrix,prims,0.009509666
20,75,matrix,prims,0.009356417
20,75,matrix,prims,0.009482333
20,75,matrix,prims,0.009396959
20,75,matrix,prims,0.009477625
20,75,matrix,kruskals,0.011523291999765206
20,75,matrix,kruskals,0.011206000002857763
20,75,matrix,kruskals,0.011352790999808349
20,75,matrix,kruskals,0.011143792005896103
20,75,matrix,kruskals,0.011433332998421974
20,75,matrix,kruskals,0.022946709
20,75,matrix,kruskals,0.014084832997468766
20,75,matrix,kruskals,0.011478
