size,density,graph_type,mst_algo,runtime
20,0,matrix,prims,0.9451208114624023
20,0,matrix,prims,1.010664939880371
20,0,matrix,prims,0.8789119720458984
20,0,matrix,prims,1.0293021202087402
20,0,matrix,prims,1.0180559158325195
20,0,matrix,kruskals,0.9896399974822998
20,0,matrix,kruskals,0.99245285987854
20,0,matrix,kruskals,1.0363342761993408
20,0,matrix,kruskals,0.970818042755127
20,0,matrix,kruskals,0.959928035736084
20,0,matrix,kruskals,1.0568809509277344
20,0,matrix,kruskals,1.1885950565338135
20,0,matrix,kruskals,1.0218629837036133
20,0,matrix,kruskals,0.9258458614349365
20,0,matrix,kruskals,0.9705798625946045
20,0,list,prims,0.12994718551635742
20,0,list,prims,0.12992286682128906
20,0,list,prims,0.1361091136932373
20,0,list,prims,0.12073874473571777
20,0,list,prims,0.12990307807922363
20,0,list,prims,0.13863396644592285
20,0,list,prims,0.13356900215148926
20,0,list,prims,0.14718914031982422
20,0,list,prims,0.13640618324279785
20,0,list,prims,0.12605714797973633
20,0,list,kruskals,0.11997008323669434
20,0,list,kruskals,0.11571097373962402
20,0,list,kruskals,0.12398409843444824
20,0,list,kruskals,0.12083125114440918
20,0,list,kruskals,0.11611080169677734
20,0,list,kruskals,0.12530994415283203
20,0,list,kruskals,0.11790800094604492
20,0,list,kruskals,0.10625195503234863
20,0,list,kruskals,0.10723304748535156
20,0,list,kruskals,0.13573408126831055
20,25,matrix,prims,0.26464104652404785
20,25,matrix,prims,0.290208101272583
20,25,matrix,prims,0.3265070915222168
20,25,matrix,prims,0.4297001361846924
20,25,matrix,prims,0.3984067440032959
20,25,matrix,prims,0.2849280834197998
20,25,matrix,prims,0.2896749973297119
20,25,matrix,prims,0.3630681037902832
20,25,matrix,prims,0.3942677974700928
20,25,matrix,prims,0.35285019874572754
20,25,matrix,kruskals,0.37588000297546387
20,25,matrix,kruskals,0.35976505279541016
20,25,matrix,kruskals,0.2878913879394531
20,25,matrix,kruskals,0.34348416328430176
20,25,matrix,kruskals,0.41806578636169434
20,25,matrix,kruskals,0.3717660903930664
20,25,matrix,kruskals,0.3171520233154297
20,25,matrix,kruskals,0.33887195587158203
20,25,matrix,kruskals,0.2830338478088379
20,25,matrix,kruskals,0.3649280071258545
20,25,list,prims,0.05692410469055176
20,25,list,prims,0.054318904876708984
20,25,list,prims,0.05949211120605469
20,25,list,prims,0.05668282508850098
20,25,list,prims,0.05760908126831055
20,25,list,prims,0.05488705635070801
20,25,list,prims,0.05839204788208008
20,25,list,prims,0.06575703620910645
20,25,list,prims,0.05685877799987793
20,25,list,prims,0.05215120315551758
20,25,list,kruskals,0.06496620178222656
20,25,list,kruskals,0.0752408504486084
20,25,list,kruskals,0.055136919021606445
20,25,list,kruskals,0.05976605415344238
20,25,list,kruskals,0.05543780326843262
20,25,list,kruskals,0.053833961486816406
20,25,list,kruskals,0.05639982223510742
20,25,list,kruskals,0.055085182189941406
20,25,list,kruskals,0.05504107475280762
20,25,list,kruskals,0.05638408660888672
20,50,matrix,prims,0.29618191719055176
20,50,matrix,prims,0.3770010471343994
